??,??(V),??(A),??(W),??(Hz),????,??,??
1,220.30,0.200,32.52,50.05,0.738,8:49:29 PM:154,1
2,220.24,0.192,29.81,50.04,0.705,8:49:29 PM:576,1
3,220.13,0.285,47.99,50.03,0.765,8:49:29 PM:950,1
4,220.20,0.267,39.09,50.04,0.665,8:49:30 PM:325,1
5,220.19,0.303,38.67,50.02,0.580,8:49:30 PM:700,1
6,220.19,0.224,36.47,50.03,0.739,8:49:31 PM:075,1
7,220.18,0.237,40.91,50.04,0.784,8:49:31 PM:450,1
8,220.13,0.194,31.03,50.03,0.727,8:49:31 PM:825,1
9,220.08,0.220,38.13,50.06,0.787,8:49:32 PM:200,1
10,219.95,0.218,37.72,50.04,0.787,8:49:32 PM:575,1
11,220.09,0.243,40.24,50.03,0.752,8:49:32 PM:949,1
12,220.13,0.258,47.81,50.05,0.842,8:49:33 PM:434,1
13,220.18,0.239,30.89,50.05,0.587,8:49:33 PM:809,1
14,220.09,0.249,42.19,50.01,0.770,8:49:34 PM:199,1
15,219.96,0.251,41.52,50.04,0.752,8:49:34 PM:574,1
16,220.04,0.212,36.60,50.06,0.785,8:49:34 PM:949,1
17,220.07,0.305,58.67,50.03,0.874,8:49:35 PM:324,1
18,220.08,0.297,51.92,50.04,0.794,8:49:35 PM:714,1
19,219.96,0.259,47.95,50.05,0.842,8:49:36 PM:089,1
20,219.95,0.228,38.64,50.03,0.771,8:49:36 PM:480,1
21,220.24,0.234,38.36,50.04,0.744,8:49:36 PM:855,1
22,220.20,0.255,45.78,50.02,0.815,8:49:37 PM:230,1
23,220.26,0.220,38.40,50.04,0.793,8:49:37 PM:605,1
24,220.36,0.238,42.23,50.04,0.805,8:49:37 PM:979,1
25,220.31,0.237,31.41,50.04,0.602,8:49:38 PM:370,1
26,220.23,0.233,39.57,50.02,0.771,8:49:38 PM:745,1
27,220.22,0.280,52.60,50.05,0.853,8:49:39 PM:124,1
28,220.21,0.292,47.30,50.04,0.736,8:49:39 PM:499,1
29,220.16,0.331,63.68,50.03,0.874,8:49:39 PM:874,1
30,220.16,0.347,68.57,50.03,0.898,8:49:40 PM:249,1
31,220.34,0.372,74.37,50.04,0.907,8:49:40 PM:623,1
32,220.26,0.349,68.56,50.03,0.892,8:49:40 PM:999,1
33,220.24,0.300,56.94,50.04,0.862,8:49:41 PM:389,1
34,220.32,0.302,58.42,50.02,0.878,8:49:41 PM:764,1
35,220.24,0.316,61.09,50.03,0.878,8:49:42 PM:139,1
36,220.24,0.365,71.63,50.03,0.891,8:49:42 PM:530,1
37,220.10,0.357,69.83,50.04,0.889,8:49:42 PM:905,1
38,220.06,0.296,56.70,50.02,0.870,8:49:43 PM:280,1
39,220.14,0.295,55.79,50.02,0.859,8:49:43 PM:670,1
40,220.11,0.332,65.18,50.05,0.892,8:49:44 PM:045,1
41,220.06,0.323,61.36,50.03,0.863,8:49:44 PM:436,1
42,220.31,0.293,56.10,50.03,0.869,8:49:44 PM:826,1
43,220.25,0.301,57.41,50.03,0.866,8:49:45 PM:217,1
44,220.35,0.295,56.82,50.03,0.874,8:49:45 PM:592,1
45,220.38,0.317,61.67,50.03,0.883,8:49:45 PM:966,1
46,220.30,0.284,54.11,50.05,0.865,8:49:46 PM:341,1
47,220.36,0.301,57.35,50.02,0.865,8:49:46 PM:716,1
48,220.22,0.341,66.67,50.05,0.888,8:49:47 PM:107,1
49,220.19,0.305,57.55,50.03,0.857,8:49:47 PM:497,1
50,220.27,0.259,48.12,50.03,0.843,8:49:47 PM:872,1
51,220.20,0.204,32.32,50.03,0.719,8:49:48 PM:247,1
52,220.27,0.219,36.59,50.04,0.759,8:49:48 PM:622,1
53,220.16,0.203,34.72,50.02,0.777,8:49:49 PM:013,1
54,220.10,0.272,51.02,50.04,0.852,8:49:49 PM:403,1
55,220.07,0.252,37.21,50.00,0.671,8:49:49 PM:778,1
56,220.20,0.286,53.36,50.03,0.847,8:49:50 PM:153,1
57,220.33,0.315,58.21,50.01,0.839,8:49:50 PM:528,1
58,220.34,0.203,33.44,50.01,0.748,8:49:50 PM:903,1
59,220.14,0.306,54.06,50.01,0.803,8:49:51 PM:294,1
60,220.03,0.234,41.42,50.02,0.805,8:49:51 PM:668,1
61,219.96,0.315,60.44,50.03,0.872,8:49:52 PM:043,1
62,219.85,0.410,82.38,50.00,0.914,8:49:52 PM:418,1
63,219.96,0.219,36.38,50.02,0.755,8:49:52 PM:809,1
64,219.90,0.232,39.84,50.02,0.781,8:49:53 PM:184,1
65,220.05,0.186,29.08,50.02,0.711,8:49:53 PM:558,1
66,220.00,0.232,37.65,50.01,0.738,8:49:53 PM:933,1
67,219.96,0.193,31.80,50.02,0.749,8:49:54 PM:308,1
68,219.92,0.294,51.89,50.02,0.803,8:49:54 PM:683,1
69,220.11,0.210,34.48,50.03,0.746,8:49:55 PM:058,1
70,220.09,0.285,51.54,50.01,0.822,8:49:55 PM:433,1
71,220.01,0.287,54.64,50.02,0.865,8:49:55 PM:808,1
72,220.00,0.265,48.21,50.02,0.827,8:49:56 PM:183,1
73,220.13,0.330,57.32,50.01,0.789,8:49:56 PM:573,1
74,220.06,0.350,68.36,50.00,0.888,8:49:56 PM:964,1
75,220.01,0.325,63.48,49.99,0.888,8:49:57 PM:339,1
76,220.07,0.301,57.49,49.99,0.868,8:49:57 PM:714,1
77,220.02,0.316,61.08,50.01,0.879,8:49:58 PM:089,1
78,220.07,0.346,53.12,50.00,0.698,8:49:58 PM:463,1
79,220.11,0.315,60.15,50.01,0.868,8:49:58 PM:838,1
