??,??(V),??(A),??(W),??(Hz),????,??,??
1,222.40,0.355,67.37,50.01,0.853,3:17:39 PM:442,1
2,222.52,0.362,72.81,50.03,0.904,3:17:39 PM:813,1
3,222.56,0.365,73.25,50.04,0.902,3:17:40 PM:191,1
4,222.69,0.350,69.50,50.02,0.892,3:17:40 PM:568,1
5,222.77,0.352,70.38,50.03,0.898,3:17:40 PM:945,1
6,222.75,0.350,69.91,50.03,0.897,3:17:41 PM:305,1
7,222.76,0.338,66.85,50.03,0.888,3:17:41 PM:665,1
8,222.78,0.352,70.44,50.04,0.898,3:17:42 PM:027,1
9,222.90,0.348,69.23,50.02,0.892,3:17:42 PM:389,1
10,222.84,0.326,64.45,50.03,0.887,3:17:42 PM:749,1
11,222.84,0.364,72.27,50.01,0.891,3:17:43 PM:127,1
12,222.81,0.346,68.91,50.02,0.894,3:17:43 PM:502,1
13,222.77,0.340,65.66,50.03,0.867,3:17:43 PM:879,1
14,222.84,0.298,55.95,50.04,0.842,3:17:44 PM:255,1
15,222.80,0.307,57.76,50.03,0.845,3:17:44 PM:630,1
16,222.72,0.389,78.96,50.04,0.911,3:17:45 PM:023,1
17,222.78,0.289,54.97,50.03,0.854,3:17:45 PM:398,1
18,222.82,0.253,46.55,50.03,0.826,3:17:45 PM:772,1
19,222.86,0.312,59.91,50.03,0.862,3:17:46 PM:147,1
20,222.76,0.312,60.59,50.03,0.872,3:17:46 PM:526,1
21,222.69,0.363,72.21,50.03,0.893,3:17:46 PM:901,1
22,222.49,0.362,72.76,50.03,0.903,3:17:47 PM:274,1
23,222.52,0.382,77.48,50.05,0.912,3:17:47 PM:651,1
24,222.63,0.393,80.09,50.03,0.915,3:17:48 PM:024,1
25,222.69,0.362,72.52,50.03,0.900,3:17:48 PM:401,1
26,222.56,0.346,68.91,50.03,0.895,3:17:48 PM:778,1
27,222.52,0.350,69.85,50.04,0.897,3:17:49 PM:152,1
28,222.26,0.366,73.51,50.05,0.904,3:17:49 PM:526,1
29,222.41,0.386,78.02,50.03,0.909,3:17:49 PM:902,1
30,222.57,0.352,70.18,50.03,0.896,3:17:50 PM:274,1
31,222.74,0.365,73.47,50.04,0.904,3:17:50 PM:648,1
32,223.15,0.359,72.14,50.04,0.901,3:17:51 PM:024,1
33,223.06,0.365,73.39,50.03,0.901,3:17:51 PM:401,1
34,223.07,0.365,72.90,50.03,0.895,3:17:51 PM:779,1
35,223.07,0.389,79.45,50.03,0.916,3:17:52 PM:154,1
36,223.08,0.316,62.01,50.03,0.880,3:17:52 PM:530,1
37,223.10,0.338,67.05,50.05,0.889,3:17:52 PM:922,1
38,223.11,0.368,74.22,50.04,0.904,3:17:53 PM:313,1
39,222.96,0.363,72.51,50.04,0.896,3:17:53 PM:701,1
40,223.12,0.388,79.09,50.03,0.914,3:17:54 PM:076,1
41,223.17,0.413,84.78,50.02,0.920,3:17:54 PM:452,1
42,222.96,0.396,80.33,50.03,0.910,3:17:54 PM:842,1
43,223.14,0.385,76.79,50.03,0.894,3:17:55 PM:231,1
44,223.08,0.358,71.23,50.04,0.892,3:17:55 PM:606,1
45,223.00,0.408,83.69,50.05,0.920,3:17:55 PM:980,1
46,223.18,0.379,76.82,50.04,0.908,3:17:56 PM:357,1
47,223.15,0.307,58.03,50.04,0.847,3:17:56 PM:734,1
48,223.06,0.358,66.83,50.03,0.837,3:17:57 PM:125,1
49,223.01,0.330,62.87,50.02,0.854,3:17:57 PM:511,1
50,223.04,0.402,81.76,50.04,0.912,3:17:57 PM:890,1
51,223.27,0.432,89.21,50.04,0.925,3:17:58 PM:281,1
52,223.24,0.425,87.72,50.04,0.925,3:17:58 PM:671,1
53,223.06,0.358,71.77,50.03,0.899,3:17:59 PM:047,1
54,223.05,0.364,72.79,50.03,0.897,3:17:59 PM:437,1
55,223.06,0.331,61.68,50.04,0.835,3:17:59 PM:811,1
56,223.09,0.284,51.85,50.03,0.818,3:18:00 PM:200,1
57,222.97,0.302,56.75,50.04,0.843,3:18:00 PM:576,1
58,222.85,0.324,57.25,50.04,0.793,3:18:00 PM:949,1
59,222.95,0.369,74.74,50.03,0.909,3:18:01 PM:327,1
60,223.04,0.328,64.02,50.03,0.875,3:18:01 PM:719,1
61,223.09,0.369,72.26,50.03,0.878,3:18:02 PM:096,1
62,222.82,0.370,73.65,50.04,0.893,3:18:02 PM:473,1
63,222.93,0.380,76.83,50.03,0.907,3:18:02 PM:848,1
64,222.99,0.275,51.84,50.04,0.845,3:18:03 PM:221,1
65,222.85,0.310,59.75,50.02,0.865,3:18:03 PM:598,1
66,222.92,0.347,69.11,50.02,0.893,3:18:03 PM:974,1
67,222.84,0.382,77.12,50.02,0.906,3:18:04 PM:351,1
68,222.77,0.343,68.12,50.04,0.891,3:18:04 PM:728,1
69,222.81,0.361,72.12,50.03,0.897,3:18:05 PM:105,1
70,222.78,0.391,79.72,50.04,0.915,3:18:05 PM:482,1
71,222.78,0.368,74.26,50.02,0.906,3:18:05 PM:843,1
72,222.95,0.363,72.62,50.02,0.897,3:18:06 PM:221,1
73,222.78,0.389,78.99,50.02,0.911,3:18:06 PM:597,1
74,222.79,0.394,79.59,50.01,0.907,3:18:06 PM:974,1
75,222.73,0.413,84.48,50.03,0.918,3:18:07 PM:352,1
76,222.71,0.351,70.02,50.02,0.896,3:18:07 PM:728,1
77,222.99,0.365,73.41,50.02,0.902,3:18:08 PM:105,1
78,223.05,0.334,66.21,50.02,0.889,3:18:08 PM:481,1
79,222.91,0.356,71.46,50.02,0.901,3:18:08 PM:858,1
80,222.90,0.330,65.37,50.02,0.889,3:18:09 PM:249,1
81,222.97,0.382,77.67,50.03,0.912,3:18:09 PM:640,1
82,222.99,0.347,69.32,50.01,0.896,3:18:10 PM:032,1
83,222.97,0.370,74.42,50.03,0.902,3:18:10 PM:408,1
84,222.89,0.357,71.88,50.02,0.903,3:18:10 PM:784,1
85,222.92,0.378,75.98,50.02,0.902,3:18:11 PM:159,1
86,222.90,0.388,79.02,50.02,0.914,3:18:11 PM:535,1
87,222.88,0.387,78.79,50.01,0.913,3:18:11 PM:911,1
88,222.82,0.371,75.13,50.02,0.909,3:18:12 PM:287,1
89,222.67,0.371,74.77,50.02,0.905,3:18:12 PM:664,1
90,222.78,0.365,73.21,50.01,0.900,3:18:13 PM:040,1
91,222.72,0.363,72.85,50.02,0.901,3:18:13 PM:417,1
92,222.65,0.363,72.78,50.02,0.901,3:18:13 PM:794,1
93,222.54,0.362,72.99,50.01,0.906,3:18:14 PM:155,1
94,222.55,0.378,76.51,50.02,0.910,3:18:14 PM:531,1
95,222.48,0.361,72.14,50.02,0.898,3:18:14 PM:908,1
96,222.43,0.364,73.39,50.03,0.906,3:18:15 PM:284,1
97,222.57,0.360,72.07,50.02,0.899,3:18:15 PM:661,1
98,222.65,0.358,71.61,50.01,0.898,3:18:16 PM:038,1
99,222.71,0.349,69.75,50.02,0.897,3:18:16 PM:412,1
100,222.60,0.360,72.14,50.02,0.900,3:18:16 PM:787,1
101,222.63,0.354,70.89,50.02,0.900,3:18:17 PM:164,1
102,222.47,0.342,68.03,50.02,0.894,3:18:17 PM:541,1
103,222.43,0.391,79.34,50.02,0.912,3:18:17 PM:917,1
104,222.78,0.360,71.51,50.02,0.892,3:18:18 PM:293,1
105,222.67,0.364,73.18,50.03,0.903,3:18:18 PM:671,1
106,222.57,0.345,68.73,50.02,0.895,3:18:19 PM:047,1
107,222.50,0.369,74.12,50.02,0.903,3:18:19 PM:438,1
108,222.56,0.349,69.82,50.01,0.899,3:18:19 PM:816,1
109,222.62,0.364,73.45,50.02,0.906,3:18:20 PM:192,1
110,222.71,0.357,71.37,50.02,0.898,3:18:20 PM:569,1
111,222.78,0.360,72.16,50.02,0.900,3:18:20 PM:948,1
112,222.91,0.365,73.16,50.02,0.899,3:18:21 PM:326,1
113,222.83,0.359,71.74,50.01,0.897,3:18:21 PM:703,1
114,222.95,0.367,73.90,50.02,0.903,3:18:22 PM:080,1
115,222.74,0.332,66.00,50.02,0.893,3:18:22 PM:470,1
116,222.56,0.399,81.12,50.02,0.913,3:18:22 PM:862,1
117,222.87,0.345,68.93,50.02,0.896,3:18:23 PM:238,1
118,222.78,0.353,70.68,50.01,0.899,3:18:23 PM:615,1
119,222.68,0.340,67.66,50.00,0.894,3:18:23 PM:990,1
120,222.74,0.382,77.64,50.01,0.913,3:18:24 PM:381,1
121,222.67,0.336,66.70,50.02,0.892,3:18:24 PM:759,1
122,222.71,0.342,68.03,50.01,0.893,3:18:25 PM:136,1
123,223.09,0.341,68.19,49.99,0.896,3:18:25 PM:513,1
124,223.02,0.341,67.92,50.01,0.893,3:18:25 PM:873,1
125,223.18,0.331,65.89,50.00,0.892,3:18:26 PM:234,1
126,223.09,0.351,70.08,50.00,0.895,3:18:26 PM:611,1
127,222.99,0.329,65.04,50.00,0.886,3:18:26 PM:988,1
128,223.06,0.346,69.28,50.02,0.898,3:18:27 PM:365,1
129,222.85,0.330,65.21,50.00,0.887,3:18:27 PM:743,1
130,223.08,0.388,78.78,49.99,0.910,3:18:28 PM:119,1
131,223.22,0.315,61.82,50.00,0.879,3:18:28 PM:496,1
132,223.09,0.337,66.18,50.01,0.880,3:18:28 PM:873,1
133,223.11,0.313,61.28,50.01,0.877,3:18:29 PM:233,1
134,223.16,0.247,44.60,49.99,0.809,3:18:29 PM:622,1
135,223.10,0.341,67.64,50.00,0.889,3:18:29 PM:985,1
136,223.11,0.342,67.70,50.01,0.887,3:18:30 PM:361,1
137,223.18,0.349,70.04,50.00,0.899,3:18:30 PM:737,1
138,223.24,0.330,65.21,50.01,0.885,3:18:31 PM:114,1
139,223.12,0.349,69.68,49.99,0.895,3:18:31 PM:491,1
140,223.11,0.372,74.65,50.00,0.899,3:18:31 PM:867,1
141,223.09,0.377,75.29,49.99,0.895,3:18:32 PM:243,1
142,222.99,0.422,86.86,50.00,0.923,3:18:32 PM:621,1
143,222.79,0.404,82.75,50.00,0.919,3:18:32 PM:997,1
