??,??(V),??(A),??(W),??(Hz),????,??,??
1,219.16,0.194,31.60,49.98,0.743,7:29:07 PM:953,1
2,219.13,0.287,36.67,49.99,0.583,7:29:08 PM:328,1
3,219.11,0.253,44.62,49.98,0.805,7:29:08 PM:703,1
4,219.12,0.232,40.85,49.99,0.804,7:29:09 PM:078,1
5,219.27,0.281,45.06,49.99,0.731,7:29:09 PM:453,1
6,219.37,0.240,39.24,49.99,0.745,7:29:09 PM:827,1
7,219.23,0.231,39.72,49.97,0.784,7:29:10 PM:202,1
8,219.28,0.323,62.65,49.99,0.885,7:29:10 PM:577,1
9,219.23,0.265,48.09,49.99,0.828,7:29:10 PM:952,1
10,219.17,0.232,37.82,49.98,0.744,7:29:11 PM:327,1
11,219.27,0.275,46.61,49.99,0.773,7:29:11 PM:702,1
12,219.16,0.284,52.69,49.98,0.847,7:29:12 PM:233,1
13,219.19,0.305,56.42,49.99,0.844,7:29:12 PM:608,1
14,219.05,0.246,43.84,49.99,0.814,7:29:12 PM:998,1
15,219.08,0.312,59.04,49.99,0.864,7:29:13 PM:389,1
16,219.17,0.207,33.14,49.99,0.730,7:29:13 PM:764,1
17,219.03,0.249,43.40,49.98,0.796,7:29:14 PM:139,1
18,219.03,0.385,75.41,49.99,0.894,7:29:14 PM:529,1
19,219.14,0.404,81.57,49.99,0.921,7:29:14 PM:920,1
20,219.06,0.392,78.63,50.00,0.916,7:29:15 PM:310,1
21,219.16,0.334,65.20,49.98,0.891,7:29:15 PM:701,1
22,219.12,0.329,63.32,49.98,0.878,7:29:16 PM:076,1
23,219.03,0.313,59.73,50.00,0.871,7:29:16 PM:466,1
24,218.92,0.402,80.30,49.99,0.912,7:29:16 PM:857,1
25,219.08,0.360,71.35,50.01,0.905,7:29:17 PM:247,1
26,219.14,0.338,66.14,50.01,0.893,7:29:17 PM:638,1
27,219.15,0.296,54.89,50.00,0.846,7:29:18 PM:029,1
28,219.26,0.368,73.06,49.99,0.905,7:29:18 PM:638,1
