Date,Time,Virtual Memory Committed [MB],Virtual Memory Available [MB],Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Page File Usage [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],System Agent Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],Voltage Offsets (avg) [V],IA Voltage Offset [V],GT (Slice) Voltage Offset [V],CLR (CBo/LLC/Ring) Voltage Offset [V],GT (Unslice) Voltage Offset [V],Uncore/SA Voltage Offset [V],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total DRAM Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU GT Usage [%],GPU Media Engine Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C3 Residency (avg) [%],Core 0 C3 Residency [%],Core 1 C3 Residency [%],Core 2 C3 Residency [%],Core 3 C3 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: DDR RAPL [Yes/No],IA: PCS (PECI) [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",PCH Temperature [°C],Ambient [°C],CPU [°C],CPU [RPM],Mainboard [RPM],Drive Temperature [°C],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],GPU Thermal Diode [°C],GPU Core Voltage (VDDC) [V],GPU Clock [MHz],GPU Memory Clock [MHz],GPU Utilization [%],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU Video Encode 1 Usage [%],GPU Computing (Compute 0) Usage [%],GPU Computing (Compute 1) Usage [%],GPU Fan PWM [%],GPU D3D Memory Dedicated [MB],GPU D3D Memory Dynamic [MB],PCIe Link Speed [GT/s],GPU Memory Usage [MB],GPU Memory Errors [],GPU VRM Voltage [V],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Total Errors [],,
8.4.2024,20:20:59.231,4516,12775,26.1,3926,12340,24.1,0.0,1.165,1.168,1.187,1.121,1.185,3790.7,3790.7,3790.7,3790.7,3790.7,99.8,3790.7,997.6,710.3,858.1,501.8,890.0,599.0,1219.1,415.8,648.7,550.3,710.3,23.9,35.0,19.0,25.0,21.1,35.0,15.8,21.1,19.0,35.0,23.9,100.0,21.3,25.7,15.0,27.1,18.0,37.8,11.6,19.0,15.9,21.3,38.0,38.0,38.0,38.0,38.0,38.0,51,53,52,49,50,49,47,48,51,50,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,48,76,0.000,0.000,0.000,0.000,0.000,0.000,22.784,11.908,0.000,0.736,10.870,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.1,22.3,31.7,13.7,28.0,16.6,41.0,11.5,20.8,15.5,1.6,0.9,1.0,1.7,2.9,52.0,52.7,52.4,43.5,59.3,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,827,1042,44,No,No,77769,44385,100.0,100.0,100.0,2.320,0.170,2290,561,38,0.825,300.0,150.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,27.0,138,47,2.5,484,0,0.825,14.1,14.1,70.91,0.58,75,4,32.709,0.000,0,,
8.4.2024,20:20:59.544,4516,12775,26.1,3925,12342,24.1,0.0,0.715,0.720,0.713,0.713,0.712,897.8,897.8,897.8,897.8,897.8,99.8,897.8,997.6,440.0,924.7,210.7,449.5,122.2,827.4,134.0,234.2,617.2,440.0,11.8,21.1,5.0,15.8,5.0,31.6,0.0,0.0,15.8,31.6,11.8,100.0,12.6,27.4,5.5,12.9,2.6,25.5,3.0,6.0,17.8,12.6,9.0,9.0,9.0,9.0,9.0,9.0,45,46,45,43,45,55,54,55,57,55,48,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,46,48,76,0.000,0.000,0.000,0.000,0.000,0.000,19.826,9.062,0.000,0.652,10.835,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,26.8,16.1,29.4,6.4,20.9,4.0,30.8,4.5,9.7,22.9,0.0,0.0,0.0,0.0,0.0,61.7,62.7,73.7,43.8,66.7,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,831,1043,44,No,No,77769,44385,100.0,11.6,100.0,3.144,0.324,2291,562,38,0.825,300.0,150.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,138,47,2.5,484,0,0.800,14.1,14.1,70.91,0.58,75,4,33.266,0.000,0,,
8.4.2024,20:20:59.825,4516,12774,26.1,3924,12343,24.1,0.0,1.207,1.215,1.208,1.182,1.224,3889.5,3789.8,3889.5,3989.2,3889.5,99.7,3789.8,997.3,698.8,354.1,283.0,220.9,772.5,362.1,2621.9,405.4,570.2,698.8,22.2,21.1,11.8,5.3,21.1,17.6,73.7,10.5,16.7,73.7,22.2,100.0,21.5,11.2,8.5,6.7,24.6,10.4,81.6,12.4,16.8,21.5,39.0,38.0,39.0,40.0,39.0,38.0,51,49,48,60,48,49,51,52,40,52,60,60,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,61,61,49,76,0.000,0.000,0.000,0.000,0.000,0.000,26.986,16.190,0.000,0.741,10.817,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,20.4,10.9,10.6,7.3,21.4,17.8,68.1,11.7,15.4,0.6,2.2,0.0,0.0,0.2,54.6,71.6,69.0,11.0,67.0,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,44.0,32.0,834,1043,44,No,No,77769,44385,100.0,100.0,100.0,1.912,0.138,2291,562,38,0.825,300.0,150.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134,47,2.5,481,0,0.800,34.5,34.6,28.96,3.05,75,4,23.173,0.000,0,,
8.4.2024,20:21:0.122,4517,12773,26.1,3923,12344,24.1,0.0,1.182,1.202,1.182,1.185,1.160,3690.0,3690.0,3690.0,3690.0,3690.0,99.7,3690.0,997.3,832.1,591.3,278.7,2662.0,376.5,693.7,442.5,482.1,1130.0,832.1,21.2,5.3,9.5,78.9,5.3,14.3,15.8,10.5,30.0,78.9,21.2,100.0,25.9,18.8,7.8,83.2,11.9,22.7,13.0,14.1,35.6,25.8,37.0,37.0,37.0,37.0,37.0,37.0,50,51,50,50,49,50,49,50,50,51,51,51,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,49,76,0.000,0.000,0.000,0.000,0.000,0.000,29.944,19.089,0.000,0.800,10.869,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,21.7,15.7,7.3,68.8,9.9,18.3,11.5,12.6,29.6,3.2,6.2,1.8,3.0,1.7,48.5,64.2,14.3,63.2,52.5,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,834,1043,44,No,No,77769,44385,100.0,0.0,100.0,1.552,0.000,2292,562,38,0.825,300.0,150.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134,47,2.5,483,0,0.800,34.5,34.6,28.96,3.05,75,4,29.205,0.000,0,,
8.4.2024,20:21:0.434,4518,12772,26.1,3927,12339,24.1,0.0,0.712,0.712,0.713,0.713,0.708,896.9,896.9,896.9,896.9,896.9,99.7,896.9,996.6,398.6,478.3,244.7,552.1,286.0,512.1,143.2,489.7,482.9,398.6,13.2,26.3,5.3,5.3,5.3,21.1,5.3,10.5,26.3,26.3,13.2,100.0,11.5,13.8,6.4,15.9,8.6,15.1,3.5,14.8,14.2,11.6,9.0,9.0,9.0,9.0,9.0,9.0,46,47,45,45,45,55,53,55,55,55,47,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48,47,48,76,0.000,0.000,0.000,0.000,0.000,0.000,18.616,7.809,0.000,0.683,10.826,65.0,81.3,348.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,27.0,15.8,21.9,9.5,22.8,10.5,18.8,6.1,15.9,20.8,0.2,0.2,0.3,0.0,0.2,63.6,64.5,58.3,72.5,59.1,1063.0,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,830,1043,44,No,No,77769,44385,100.0,100.0,100.0,2.191,0.026,2293,562,38,0.825,300.0,150.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134,47,2.5,483,0,0.800,34.5,34.6,28.96,3.05,75,4,45.686,0.000,0,,
8.4.2024,20:21:0.731,4518,12773,26.1,3926,12341,24.1,0.0,0.731,0.718,0.738,0.733,0.734,1197.1,897.8,1296.8,1296.8,1296.8,99.8,897.8,997.6,283.5,320.0,61.5,471.8,363.6,464.9,52.0,112.2,421.6,283.5,10.0,20.0,0.0,10.0,15.0,20.0,0.0,0.0,15.0,20.0,10.0,100.0,8.1,9.1,1.2,13.9,10.7,14.0,0.8,2.6,12.2,8.1,12.0,9.0,13.0,13.0,13.0,9.0,45,46,45,43,45,55,54,55,57,55,47,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,47,76,0.000,0.000,0.000,0.000,0.000,0.000,16.001,5.217,0.000,0.596,10.815,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,49.8,11.7,13.1,2.5,20.5,15.3,19.7,2.6,5.6,14.6,0.0,0.0,0.0,0.0,0.0,75.5,82.8,62.6,77.4,79.3,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,832,1043,44,No,No,77769,44385,100.0,100.0,100.0,1.524,0.013,2293,562,38,0.825,300.0,150.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134,47,2.5,483,0,0.825,34.5,34.6,28.96,3.05,75,4,17.230,0.000,0,,
8.4.2024,20:21:1.043,4518,12773,26.1,3926,12341,24.1,0.0,0.707,0.706,0.706,0.707,0.708,897.4,897.4,897.4,897.4,897.4,99.7,897.4,997.1,335.7,398.7,53.5,503.1,781.8,185.5,62.3,371.7,328.8,335.7,6.9,5.0,0.0,10.0,20.0,5.0,0.0,10.0,5.0,20.0,6.9,100.0,9.9,12.2,0.7,14.9,23.4,5.2,1.2,11.6,9.6,9.9,9.0,9.0,9.0,9.0,9.0,9.0,45,45,45,43,45,56,55,55,57,55,47,45,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,50,50,47,76,0.000,0.000,0.000,0.000,0.000,0.000,19.657,8.862,0.000,0.589,10.825,65.0,81.3,349.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,37.8,9.9,12.1,1.6,17.2,20.4,6.8,1.8,10.4,8.9,0.0,0.0,0.0,0.0,0.0,77.5,83.1,58.8,89.2,78.8,1063.5,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,44.0,32.0,833,1044,44,No,No,77769,44385,100.0,100.0,100.0,1.218,0.037,2293,562,38,0.825,300.0,150.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,27.0,134,47,2.5,483,0,0.825,23.9,24.0,41.80,1.23,75,4,26.224,0.000,0,,
8.4.2024,20:21:1.358,4517,12774,26.1,3927,12340,24.1,0.0,1.180,1.197,1.153,1.169,1.201,3792.6,3792.6,3792.6,3792.6,3792.6,99.8,3792.6,998.1,587.1,473.9,165.0,673.6,808.1,627.6,154.9,1086.0,707.9,587.1,16.3,10.0,5.3,15.0,30.0,15.0,5.0,35.0,15.0,35.0,16.3,100.0,18.0,15.2,4.1,21.1,24.6,20.0,3.8,33.6,21.6,18.0,38.0,38.0,38.0,38.0,38.0,38.0,47,48,49,45,47,53,52,51,55,53,49,49,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,48,76,0.000,0.000,0.000,0.000,0.000,0.000,24.555,13.622,0.135,0.647,10.840,65.0,81.3,449.1,0.0,12.2,12.1,0.0,0.0,0.0,0.0,0.0,0,16.2,16.2,13.1,5.1,18.0,24.1,18.2,4.4,28.6,18.4,2.8,4.0,1.3,4.3,1.7,58.9,72.7,50.1,65.5,47.1,1064.6,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,832,1043,44,No,No,77769,44385,100.0,100.0,100.0,1.625,0.158,2294,562,38,0.825,300.0,150.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,27.0,135,47,2.5,488,0,0.800,23.9,24.0,41.80,1.23,75,4,30.787,0.000,0,,
8.4.2024,20:21:1.639,4516,12775,26.1,3927,12340,24.1,0.0,1.204,1.204,1.189,1.197,1.224,3864.6,3789.8,3889.5,3889.5,3889.5,99.7,3789.8,997.3,377.6,852.7,80.5,675.4,149.5,584.3,84.0,158.0,436.4,377.6,10.5,31.6,0.0,10.5,0.0,26.3,5.3,0.0,10.5,31.6,10.5,100.0,10.8,25.5,1.1,19.5,3.6,18.3,1.5,3.8,13.0,10.8,38.8,38.0,39.0,39.0,39.0,38.0,51,50,59,46,47,50,50,41,54,53,56,59,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,54,54,47,76,0.000,0.000,0.000,0.000,0.000,0.000,19.121,8.211,0.141,0.650,10.829,65.0,81.3,349.1,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,0,30.1,12.9,32.6,2.6,23.0,5.0,18.0,3.4,5.5,12.8,0.4,0.1,0.3,0.9,0.2,68.6,61.2,60.9,74.9,77.3,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,829,1043,44,No,No,77769,44385,100.0,100.0,100.0,2.373,0.144,2295,562,38,0.825,300.0,150.0,0.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,27.0,135,47,2.5,488,0,0.800,23.9,24.0,41.80,1.23,75,4,41.959,0.230,0,,
8.4.2024,20:21:1.952,4519,12772,26.1,3907,12360,24.0,0.0,0.782,0.785,0.778,0.772,0.795,1795.6,1795.6,1795.6,1795.6,1795.6,99.8,1795.6,997.6,313.1,476.1,108.2,428.0,155.4,682.3,97.7,189.8,367.6,313.1,10.1,20.0,10.0,10.0,4.5,26.3,5.0,0.0,5.0,26.3,10.1,100.0,9.1,14.2,2.8,13.4,3.8,21.0,1.8,4.7,10.7,9.0,18.0,18.0,18.0,18.0,18.0,18.0,46,47,45,45,45,55,53,55,55,55,47,47,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,49,47,76,0.000,0.000,0.000,0.000,0.000,0.000,17.365,6.537,0.000,0.642,10.827,65.0,81.3,349.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.9,10.5,15.3,3.3,16.1,5.0,23.3,3.4,6.4,11.2,1.4,2.2,0.1,1.0,2.5,72.0,73.9,70.9,67.4,75.7,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.0,44.0,32.0,829,1043,44,No,No,77769,44385,100.0,100.0,100.0,1.362,0.039,2295,562,39,0.825,300.0,150.0,0.0,13.7,0.0,0.0,0.0,0.0,0.0,0.0,27.0,136,47,2.5,493,0,0.800,45.5,45.5,21.99,2.62,75,4,31.977,0.000,0,,
