Date,Time,Virtual Memory Committed [MB],Virtual Memory Available [MB],Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Page File Usage [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],System Agent Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],Voltage Offsets (avg) [V],IA Voltage Offset [V],GT (Slice) Voltage Offset [V],CLR (CBo/LLC/Ring) Voltage Offset [V],GT (Unslice) Voltage Offset [V],Uncore/SA Voltage Offset [V],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total DRAM Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU GT Usage [%],GPU Media Engine Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C3 Residency (avg) [%],Core 0 C3 Residency [%],Core 1 C3 Residency [%],Core 2 C3 Residency [%],Core 3 C3 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: DDR RAPL [Yes/No],IA: PCS (PECI) [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",PCH Temperature [°C],Ambient [°C],CPU [°C],CPU [RPM],Mainboard [RPM],Drive Temperature [°C],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],GPU Thermal Diode [°C],GPU Core Voltage (VDDC) [V],GPU Clock [MHz],GPU Memory Clock [MHz],GPU Utilization [%],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU Video Encode 1 Usage [%],GPU Computing (Compute 0) Usage [%],GPU Computing (Compute 1) Usage [%],GPU Fan PWM [%],GPU D3D Memory Dedicated [MB],GPU D3D Memory Dynamic [MB],PCIe Link Speed [GT/s],GPU Memory Usage [MB],GPU Memory Errors [],GPU VRM Voltage [V],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Total Errors []
8.4.2024,21:43:51,4850,12441,28,4158,12109,25.5,0,1.177,1.203,1.156,1.189,1.16,3690,3690,3690,3690,3690,99.7,3690,997.3,315.8,333.2,860.7,356.5,188.9,460.9,83.5,90.2,152.5,315.8,8.1,10,20,5,0,20,0,0,10,20,8.1,100,8.8,9.7,24.5,10.1,4.7,14.1,1.7,1.8,4,8.8,37,37,37,37,37,37,50,55,49,47,49,50,45,51,53,51,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,47,76,0,0,0,0,0,0,17.783,7.009,0,0.609,10.823,65,81.3,349.1,0,0,0,0,0,0,0,0,0,41.2,9,9.7,24.4,10.2,5.4,12.9,2.3,2.5,4.5,1.3,0.2,1.8,1.4,1.7,77.2,60.4,81.4,80.5,86.7,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,808,1029,46,No,No,77786,44410,100,63.1,100,3.135,0.157,2316,302,40,0.825,300,150,0,1,0,0,0,0,0,0,27,172,63,2.5,664,0,0.825,12.4,12.4,80.66,0.23,21,3,66.294,0.2,0
8.4.2024,21:43:51,4855,12436,28,4161,12106,25.5,0,1.186,1.185,1.188,1.186,1.185,3791.6,3791.6,3791.6,3791.6,3791.6,99.8,3791.6,997.8,1134.1,1535.2,1117.9,1419.7,843.3,1335.2,560.3,1073.8,1187,1134.1,29.8,42.1,31.6,42.1,27.8,26.3,5.6,31.6,31.6,42.1,29.8,100,35.4,47.3,36.2,45,25.7,42.2,16.6,33.9,35.9,35.4,38,38,38,38,38,38,49,50,49,47,48,52,50,51,53,52,50,50,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,48,77,0,0,0,0,0,0,32.735,21.859,0,0.877,10.884,65,81.3,349.2,0,0,0,0,0,0,0,0,0,8.5,30.3,40.7,30,38,22.5,35.7,15.1,28.9,31.6,3.8,3.2,5.1,3.8,3.1,35.2,24.9,36.9,43.6,35.3,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,809,1028,46,No,No,77786,44410,100,2,100,2.365,0.303,2317,302,40,0.825,300,150,0,17.7,0,0,0,0,0,0,27,172,63,2.5,664,0,0.8,12.4,12.4,80.66,0.23,21,3,28.001,0.21,0
8.4.2024,21:43:51,4856,12435,28,4162,12105,25.5,0,1.003,0.981,1.021,1.005,1.004,2991.9,2991.9,2991.9,2991.9,2991.9,99.7,2991.9,997.3,660.6,457.3,1445.7,511.8,483.2,839.3,152.5,412.2,983,660.6,14.1,20,33.3,10,4.8,35,0,0,10,35,14.1,100,20,14.9,43.9,15.5,14.1,26.3,3.8,12.2,29.4,20,30,30,30,30,30,30,48,54,47,45,46,52,46,53,55,54,54,54,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,55,55,47,77,0,0,0,0,0,0,25.911,15.073,0,0.687,10.849,65,81.3,349.1,0,0,0,0,0,0,0,0,0,20.7,17.4,12.2,38.2,13.5,12.6,22.1,4.1,10.9,25.6,0.5,0,0,0.2,1.8,63.4,51.5,72.5,69.4,60.2,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,807,1028,46,No,No,77786,44410,100,12,100,2.881,0.124,2318,302,40,0.825,300,150,0,1,0,0,0,0,0,0,27,172,63,2.5,664,0,0.8,12.4,12.4,80.66,0.23,21,3,190.929,0,0
8.4.2024,21:43:52,4856,12435,28,4161,12105,25.5,0,1.18,1.201,1.169,1.206,1.145,3864.6,3789.8,3889.5,3889.5,3889.5,99.7,3889.5,997.3,642.6,557.7,940.4,719.2,479.5,486.1,312.4,314.6,1330.8,642.6,19.4,15,25,25,10,20,0,10,50,50,19.4,100,19.4,16.8,28.1,22.1,14.1,14.2,8.5,9.1,42,19.4,38.8,38,39,39,39,39,51,51,55,47,51,49,49,45,53,49,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,48,77,0,0,0,0,0,0,25.07,14.301,0,0.712,10.825,65,81.3,349.1,0,0,0,0,0,0,0,0,0,8.7,19.1,17.3,26.1,21.7,13.8,14.2,10.3,11.7,37.4,7.9,9.7,10,8.2,3.6,43.8,31.4,44.5,60.5,38.7,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,807,1029,46,No,No,77786,44410,100,0,100,4.678,0,2319,302,40,0.825,300,150,0,4.7,0,0,0,0,0,0,27,168,63,2.5,659,0,0.825,25.6,25.7,38.99,1.49,21,3,58.259,0.2,0
8.4.2024,21:43:52,4857,12433,28,4160,12107,25.5,0,1.22,1.218,1.219,1.223,1.221,3813.8,3689.2,3888.6,3888.6,3788.9,99.7,3788.9,997.1,414.8,747.6,336.8,653.3,440.4,286,282.1,105.3,467.2,414.8,11.8,5.3,21.1,26.3,0,15.8,10.5,0,15.8,26.3,11.8,100,11.9,22.7,9.1,19.2,12.6,7.6,7.8,2.1,13.8,11.9,38.3,37,39,39,38,38,46,48,47,44,45,54,52,53,56,55,48,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,47,76,0,0,0,0,0,0,19.157,8.333,0,0.663,10.84,65,81.3,349,0,0,0,0,0,0,0,0,0,32.5,13.4,21.8,14.8,18.6,12.6,10.6,8.1,3.3,17.7,3,2.6,6.8,1.7,1,68,56.4,64.2,77.5,74,1063.5,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,807,1029,46,No,No,77786,44410,100,49,100,2.496,0.538,2320,302,40,0.825,300,150,0,3.5,0,0,0,0,0,0,27,168,63,2.5,659,0,0.825,25.6,25.7,38.99,1.49,21,3,19.674,0.191,0
8.4.2024,21:43:52,4857,12434,28,4161,12105,25.5,0,1.221,1.224,1.221,1.223,1.216,3890.5,3890.5,3890.5,3890.5,3890.5,99.8,3990.2,997.6,540.3,519.8,1373.2,593.7,163.1,714.3,203.9,251,503.7,540.3,10.7,10,35,15,0,10,0,5.3,10.5,35,10.7,100,15.8,16.2,40.5,17.3,4,21.2,5.1,6.8,15,15.8,39,39,39,39,39,40,52,67,48,47,47,48,33,52,53,53,67,67,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,66,66,47,77,0,0,0,0,0,0,22.842,12.08,0,0.657,10.816,65,81.3,349.1,0,0,0,0,0,0,0,0,0,26,14.7,14.1,37.2,16.6,4.6,18.9,5.8,7,13.3,0,0,0,0,0,68.8,46,78.6,73.3,77.2,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,42,32,805,1029,46,No,No,77786,44410,100,0.1,100,3.018,0.262,2321,302,40,0.825,300,150,0,2.1,0,0,0,0,0,0,27,168,63,2.5,659,0,0.8,25.6,25.7,38.99,1.49,21,3,26.485,0,0
8.4.2024,21:43:53,4856,12435,28,4159,12108,25.5,0,1.199,1.199,1.157,1.221,1.221,3866.5,3791.6,3891.4,3891.4,3891.4,99.8,3991.2,997.8,736.1,741.6,614.5,285,2222.5,810.2,537,97,581,736.1,19.5,15.8,15.8,10.5,63.2,15.8,25,0,10,63.2,19.5,100,22.5,22.4,18.8,8.2,68.6,25.5,16.4,2.4,17.5,22.5,38.8,38,39,39,39,40,47,48,48,45,47,53,52,52,55,53,48,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,47,76,0,0,0,0,0,0,29.802,19.003,0,0.534,10.81,65,81.3,349.2,0,0,0,0,0,0,0,0,0,8.5,19,19.1,15.9,7.4,57.2,21,14,2.6,15.1,0.1,0,0,0,0.2,58.9,61.5,33.4,62.3,78.4,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,43,32,807,1029,46,No,No,77786,44410,100,0.1,100,2.938,0.013,2322,302,40,0.825,300,150,0,0.5,0,0,0,0,0,0,27,168,63,2.5,659,0,0.8,55.8,55.8,17.91,0.38,21,3,19.295,0.27,0
8.4.2024,21:43:53,4856,12435,28,4158,12109,25.5,0,1.186,1.159,1.191,1.198,1.195,3789.8,3789.8,3789.8,3789.8,3789.8,99.7,3789.8,997.3,452.6,159.7,1141.5,685.1,241.6,598.2,159.6,190.3,444.8,452.6,12.1,10,31.6,15,5,10,10,5,10.5,31.6,12.1,100,13.6,4.4,33.6,21,6.9,18.9,5.2,5.2,13.6,13.6,38,38,38,38,38,38,46,48,47,44,45,54,52,53,56,55,48,48,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,47,76,0,0,0,0,0,0,21.912,11.093,0,0.632,10.841,65,81.3,349.1,0,0,0,0,0,0,0,0,0,36,11.7,4.2,29.4,17.7,6.3,15.4,4.2,5,11.5,2.1,4.8,0,3.6,0,73.6,58.7,75.8,77.3,82.6,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,43,32,804,1028,46,No,No,77786,44410,100,0,100,5.526,0,2323,302,39,0.825,300,150,0,0.4,0,0,0,0,0,0,27,168,63,2.5,659,0,0.8,55.8,55.8,17.91,0.38,21,3,18.527,0,0
8.4.2024,21:43:53,4855,12436,28,4156,12111,25.5,0,1.217,1.215,1.199,1.222,1.23,3865.5,3790.7,3890.5,3890.5,3890.5,99.8,3790.7,997.6,349.9,456.7,580.1,335.2,105.4,598.9,209.4,70.5,442.9,349.9,7.9,0,10.5,26.3,5.3,5.3,0,0,15.8,26.3,7.9,100,9.9,13.5,16.4,9.6,2.3,18,5.5,1.4,12.8,9.9,38.8,38,39,39,39,38,48,50,46,52,45,52,50,54,48,55,54,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,57,57,47,76,0,0,0,0,0,0,19.265,8.515,0,0.578,10.788,65,81.3,349.1,0,0,0,0,0,0,0,0,0,40.9,9.4,12.5,16,8.7,3.3,15.9,5.4,2,11.4,0,0,0,0,0,79.5,68.2,86.9,77.5,85.4,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,43,32,802,1028,46,No,No,77786,44410,100,12.1,100,3.173,0.165,2324,302,40,0.825,300,150,0,0.5,0,0,0,0,0,0,27,168,63,2.5,659,0,0.8,55.8,55.8,17.91,0.38,21,3,33.621,0,0
8.4.2024,21:43:54,4848,12443,28,4156,12111,25.5,0,1.132,1.133,1.112,1.149,1.134,3490.6,3490.6,3490.6,3490.6,3490.6,99.7,3490.6,997.3,348.7,664.2,247.6,275.9,448.9,405.5,161.5,238.1,348.2,348.7,11.5,26.3,15,5.3,10,5.3,10,10.5,10,26.3,11.5,100,9.9,19.5,6.5,7.8,12.7,12.2,4.2,6.4,10.1,9.9,35,35,35,35,35,35,45,46,45,43,44,56,54,55,57,56,47,46,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,52,46,76,0,0,0,0,0,0,18.139,7.05,0.275,0.586,10.848,65,81.3,349.1,0,21,20.8,0,0,0,0,0,0,36.4,11.7,19.4,13.3,8.9,12.6,11.7,5.9,11.6,10.2,0,0,0,0,0,76.2,66.2,78.2,82,78.3,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,48.5,43,32,804,1028,46,No,No,77786,44410,100,70.5,100,1.721,0.313,2325,302,40,0.825,300,150,0,2.3,0,0,0,0,0,0,27,168,63,2.5,659,0,0.825,36.1,36,27.74,0.4,21,3,14.967,0,0
