??,??(V),??(A),??(W),??(Hz),????,??,??
1,220.76,0.379,75.93,50.02,0.907,9:51:12 PM:201,1
2,220.81,0.431,86.95,50.03,0.914,9:51:12 PM:572,1
3,220.87,0.363,72.27,50.03,0.901,9:51:12 PM:945,1
4,220.85,0.358,71.17,50.03,0.900,9:51:13 PM:318,1
5,220.80,0.334,65.08,50.03,0.882,9:51:13 PM:693,1
6,220.93,0.354,70.22,50.03,0.898,9:51:14 PM:069,1
7,220.83,0.428,85.25,50.04,0.902,9:51:14 PM:448,1
8,220.90,0.291,54.10,50.02,0.842,9:51:14 PM:822,1
9,220.90,0.316,60.45,50.02,0.866,9:51:15 PM:195,1
10,220.83,0.369,73.35,50.04,0.900,9:51:15 PM:575,1
11,220.87,0.384,76.21,50.02,0.899,9:51:15 PM:950,1
12,220.93,0.331,65.02,50.02,0.889,9:51:16 PM:325,1
13,220.95,0.403,75.67,50.03,0.850,9:51:16 PM:700,1
14,221.04,0.483,55.19,50.03,0.517,9:51:17 PM:072,1
15,220.99,0.389,76.42,50.02,0.889,9:51:17 PM:449,1
16,221.04,0.372,73.70,50.03,0.896,9:51:17 PM:827,1
17,221.05,0.364,72.76,50.02,0.904,9:51:18 PM:200,1
18,221.01,0.366,71.96,50.02,0.890,9:51:18 PM:574,1
19,221.02,0.308,57.30,50.03,0.842,9:51:18 PM:949,1
20,221.00,0.339,66.90,50.04,0.893,9:51:19 PM:325,1
21,220.95,0.316,61.60,50.02,0.882,9:51:20 PM:349,1
22,220.88,0.344,67.93,50.02,0.894,9:51:20 PM:723,1
23,220.95,0.317,57.48,50.03,0.821,9:51:21 PM:109,1
24,220.84,0.315,58.71,50.02,0.844,9:51:21 PM:485,1
25,220.93,0.332,65.27,50.03,0.890,9:51:21 PM:847,1
26,220.94,0.375,75.22,50.02,0.908,9:51:22 PM:223,1
27,220.89,0.316,61.71,50.02,0.884,9:51:22 PM:612,1
28,220.86,0.303,56.99,50.02,0.852,9:51:23 PM:000,1
29,220.87,0.316,61.22,50.01,0.877,9:51:23 PM:377,1
30,220.87,0.331,64.00,50.02,0.875,9:51:23 PM:752,1
31,221.06,0.303,58.62,50.02,0.875,9:51:24 PM:124,1
32,220.93,0.316,60.97,50.00,0.873,9:51:24 PM:500,1
33,220.93,0.324,63.24,50.02,0.883,9:51:24 PM:877,1
34,220.95,0.311,60.49,50.02,0.880,9:51:25 PM:249,1
35,220.95,0.291,54.62,50.03,0.849,9:51:25 PM:620,1
36,220.90,0.340,66.47,50.01,0.885,9:51:25 PM:996,1
37,221.15,0.308,59.29,50.00,0.870,9:51:26 PM:372,1
38,221.12,0.320,61.40,50.03,0.868,9:51:26 PM:744,1
39,221.09,0.327,63.71,49.99,0.881,9:51:27 PM:118,1
40,221.05,0.317,61.56,49.99,0.879,9:51:27 PM:493,1
41,221.10,0.320,62.14,50.01,0.878,9:51:27 PM:866,1
42,221.03,0.343,66.75,50.02,0.881,9:51:28 PM:243,1
43,221.01,0.295,54.60,50.03,0.837,9:51:28 PM:616,1
44,221.04,0.338,66.37,50.00,0.888,9:51:28 PM:991,1
45,220.95,0.323,63.45,50.01,0.889,9:51:29 PM:368,1
46,221.01,0.347,68.62,49.99,0.895,9:51:29 PM:741,1
47,221.23,0.341,67.28,50.01,0.892,9:51:30 PM:117,1
48,221.10,0.330,62.65,49.99,0.859,9:51:30 PM:490,1
49,221.08,0.267,49.20,50.00,0.833,9:51:30 PM:868,1
50,220.95,0.419,78.42,50.01,0.847,9:51:31 PM:242,1
51,220.91,0.257,46.63,50.01,0.821,9:51:31 PM:616,1
52,221.09,0.267,49.05,49.99,0.831,9:51:32 PM:007,1
53,221.09,0.305,57.40,50.00,0.851,9:51:32 PM:384,1
54,221.10,0.321,61.54,49.99,0.867,9:51:32 PM:758,1
55,221.09,0.328,64.38,49.99,0.888,9:51:33 PM:133,1
56,221.05,0.298,56.22,49.99,0.853,9:51:33 PM:518,1
57,221.12,0.278,50.71,49.99,0.825,9:51:33 PM:907,1
