Date,Time,Virtual Memory Committed [MB],Virtual Memory Available [MB],Virtual Memory Load [%],Physical Memory Used [MB],Physical Memory Available [MB],Physical Memory Load [%],Page File Usage [%],Core VIDs (avg) [V],Core 0 VID [V],Core 1 VID [V],Core 2 VID [V],Core 3 VID [V],Core Clocks (avg) [MHz],Core 0 Clock [MHz],Core 1 Clock [MHz],Core 2 Clock [MHz],Core 3 Clock [MHz],Bus Clock [MHz],Ring/LLC Clock [MHz],System Agent Clock [MHz],Core Effective Clocks (avg) [MHz],Core 0 T0 Effective Clock [MHz],Core 0 T1 Effective Clock [MHz],Core 1 T0 Effective Clock [MHz],Core 1 T1 Effective Clock [MHz],Core 2 T0 Effective Clock [MHz],Core 2 T1 Effective Clock [MHz],Core 3 T0 Effective Clock [MHz],Core 3 T1 Effective Clock [MHz],Average Effective Clock [MHz],Core Usage (avg) [%],Core 0 T0 Usage [%],Core 0 T1 Usage [%],Core 1 T0 Usage [%],Core 1 T1 Usage [%],Core 2 T0 Usage [%],Core 2 T1 Usage [%],Core 3 T0 Usage [%],Core 3 T1 Usage [%],Max CPU/Thread Usage [%],Total CPU Usage [%],On-Demand Clock Modulation [%],Core Utility (avg) [%],Core 0 T0 Utility [%],Core 0 T1 Utility [%],Core 1 T0 Utility [%],Core 1 T1 Utility [%],Core 2 T0 Utility [%],Core 2 T1 Utility [%],Core 3 T0 Utility [%],Core 3 T1 Utility [%],Total CPU Utility [%],Core Ratios (avg) [x],Core 0 Ratio [x],Core 1 Ratio [x],Core 2 Ratio [x],Core 3 Ratio [x],Uncore Ratio [x],Core Temperatures (avg) [°C],Core 0 [°C],Core 1 [°C],Core 2 [°C],Core 3 [°C],Core Distance to TjMAX (avg) [°C],Core 0 Distance to TjMAX [°C],Core 1 Distance to TjMAX [°C],Core 2 Distance to TjMAX [°C],Core 3 Distance to TjMAX [°C],CPU Package [°C],Core Max [°C],Core Thermal Throttling (avg) [Yes/No],Core 0 Thermal Throttling [Yes/No],Core 1 Thermal Throttling [Yes/No],Core 2 Thermal Throttling [Yes/No],Core 3 Thermal Throttling [Yes/No],Core Critical Temperature (avg) [Yes/No],Core 0 Critical Temperature [Yes/No],Core 1 Critical Temperature [Yes/No],Core 2 Critical Temperature [Yes/No],Core 3 Critical Temperature [Yes/No],Core Power Limit Exceeded (avg) [Yes/No],Core 0 Power Limit Exceeded [Yes/No],Core 1 Power Limit Exceeded [Yes/No],Core 2 Power Limit Exceeded [Yes/No],Core 3 Power Limit Exceeded [Yes/No],Package/Ring Thermal Throttling [Yes/No],Package/Ring Critical Temperature [Yes/No],Package/Ring Power Limit Exceeded [Yes/No],CPU Package [°C],CPU IA Cores [°C],CPU GT Cores (Graphics) [°C],VR VCC Temperature (SVID) [°C],Voltage Offsets (avg) [V],IA Voltage Offset [V],GT (Slice) Voltage Offset [V],CLR (CBo/LLC/Ring) Voltage Offset [V],GT (Unslice) Voltage Offset [V],Uncore/SA Voltage Offset [V],CPU Package Power [W],IA Cores Power [W],GT Cores Power [W],Total DRAM Power [W],Rest-of-Chip Power [W],PL1 Power Limit (Static) [W],PL2 Power Limit (Static) [W],GPU Clock [MHz],GPU D3D Usage [%],GPU GT Usage [%],GPU Media Engine Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Decode 1 Usage [%],GPU Video Processing 0 Usage [%],GPU Video Processing 1 Usage [%],GPU D3D Memory Dynamic [MB],Package C2 Residency [%],Core C0 Residency (avg) [%],Core 0 T0 C0 Residency [%],Core 0 T1 C0 Residency [%],Core 1 T0 C0 Residency [%],Core 1 T1 C0 Residency [%],Core 2 T0 C0 Residency [%],Core 2 T1 C0 Residency [%],Core 3 T0 C0 Residency [%],Core 3 T1 C0 Residency [%],Core C3 Residency (avg) [%],Core 0 C3 Residency [%],Core 1 C3 Residency [%],Core 2 C3 Residency [%],Core 3 C3 Residency [%],Core C7 Residency (avg) [%],Core 0 C7 Residency [%],Core 1 C7 Residency [%],Core 2 C7 Residency [%],Core 3 C7 Residency [%],Memory Clock [MHz],Memory Clock Ratio [x],Tcas [T],Trcd [T],Trp [T],Tras [T],Trc [T],Trfc [T],Command Rate [T],IA Limit Reasons (avg) [Yes/No],IA: PROCHOT [Yes/No],IA: Thermal Event [Yes/No],IA: DDR RAPL [Yes/No],IA: PCS (PECI) [Yes/No],IA: Residency State Regulation [Yes/No],IA: Running Average Thermal Limit [Yes/No],IA: VR Thermal Alert [Yes/No],IA: VR TDC [Yes/No],"IA: Electrical Design Point/Other (ICCmax,PL4,SVID,DDR RAPL) [Yes/No]",IA: Package-Level RAPL/PBM PL1 [Yes/No],"IA: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",IA: Max Turbo Limit [Yes/No],IA: Turbo Attenuation (MCT) [Yes/No],GT Limit Reasons (avg) [Yes/No],GT: PROCHOT [Yes/No],GT: Thermal Event [Yes/No],GT: DDR RAPL [Yes/No],GT: Residency State Regulation [Yes/No],GT: Running Average Thermal Limit [Yes/No],GT: VR Thermal Alert [Yes/No],GT: VR TDC [Yes/No],"GT: Max VR Voltage, ICCmax, PL4 [Yes/No]",GT: Domain-Level PBM PLGT [Yes/No],GT: Package-Level RAPL/PBM PL1 [Yes/No],"GT: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",GT: Inefficient Operation [Yes/No],GT: Fuses limit [Yes/No],Ring Limit Reasons (avg) [Yes/No],RING: PROCHOT [Yes/No],RING: Thermal Event [Yes/No],RING: DDR RAPL [Yes/No],RING: Residency State Regulation [Yes/No],RING: Running Average Thermal Limit [Yes/No],RING: VR Thermal Alert [Yes/No],RING: VR TDC [Yes/No],"RING: Max VR Voltage, ICCmax, PL4 [Yes/No]",RING: Package-Level RAPL/PBM PL1 [Yes/No],"RING: Package-Level RAPL/PBM PL2,PL3 [Yes/No]",PCH Temperature [°C],Ambient [°C],CPU [°C],CPU [RPM],Mainboard [RPM],Drive Temperature [°C],Drive Failure [Yes/No],Drive Warning [Yes/No],Total Host Writes [GB],Total Host Reads [GB],Read Activity [%],Write Activity [%],Total Activity [%],Read Rate [MB/s],Write Rate [MB/s],Read Total [MB],Write Total [MB],GPU Thermal Diode [°C],GPU Core Voltage (VDDC) [V],GPU Clock [MHz],GPU Memory Clock [MHz],GPU Utilization [%],GPU D3D Usage [%],GPU D3D Utilizations (avg) [%],GPU Video Decode 0 Usage [%],GPU Video Encode 0 Usage [%],GPU Video Encode 1 Usage [%],GPU Computing (Compute 0) Usage [%],GPU Computing (Compute 1) Usage [%],GPU Fan PWM [%],GPU D3D Memory Dedicated [MB],GPU D3D Memory Dynamic [MB],PCIe Link Speed [GT/s],GPU Memory Usage [MB],GPU Memory Errors [],GPU VRM Voltage [V],Framerate (Presented) [FPS],Framerate (Displayed) [FPS],Frame Time [ms],GPU Busy [ms],Total DL [MB],Total UP [MB],Current DL rate [KB/s],Current UP rate [KB/s],Total Errors []
8.4.2024,21:51:17,12687,4604,73.3,10719,5548,65.8,0.3,0.847,0.797,0.87,0.862,0.86,2195.2,1895.8,2294.9,2294.9,2294.9,99.8,1895.8,997.8,1214.3,1113.6,1038.8,1322.1,936,1410.7,1495.9,1197.7,1199.5,1214.3,38.1,35,40,45,35,20,50,45,35,50,38.1,100,37.1,33.9,31.5,41.1,28.1,43.8,46.1,36.3,36.1,37.1,22,19,23,23,23,19,54,55,53,52,55,46,45,47,48,45,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,56,56,54,78,0,0,0,0,0,0,24.393,21.152,0,1.034,3.272,65,81.3,349.2,0,0,0,0,0,0,0,0,62,4.4,35.3,32.5,31,38.4,26.1,39.6,45.1,33.7,36,0.8,1.3,0,1.1,0.8,33.2,45.4,34.2,12.3,41.1,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,47,32,800,1029,47,No,No,77787,44413,100,90.5,100,17.961,0.398,5343,524,53,1.05,725,1125,35,12.5,0,0,0,0,0,0,36,739,108,8,5753,0,1,59.9,59.9,16.68,1.25,132,19,40.43,0.2,0
8.4.2024,21:51:18,12685,4606,73.3,10715,5552,65.8,0.3,1.183,1.208,1.17,1.176,1.177,3764.8,3690,3789.8,3789.8,3789.8,99.7,3789.8,997.3,1009.9,1380.4,690.6,1214,855.5,907,846.4,1368.9,816.4,1009.9,28.8,45,25,40,25,25,20,35,15,45,28.8,100,31.4,43.5,21.3,38.5,26,27.8,26.1,43,24.6,31.4,37.8,37,38,38,38,38,59,60,57,55,64,41,40,43,45,36,63,64,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,67,67,54,78,0,0,0,0,0,0,23.059,19.869,0,0.952,3.245,65,81.3,349.1,0,0,0,0,0,0,0,0,62,7.4,27.7,37.1,18.9,33.6,23.2,24.7,23.1,38.5,22.2,0.2,0,0.2,0.7,0,45.1,48.6,45.3,44.1,42.4,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,49,47,33,802,1028,47,No,No,77787,44413,100,28.7,100,6.467,0.341,5345,524,53,1.05,725,1125,35,13.8,0,0,0,0,0,0,36,739,108,8,5754,0,1,59.9,59.9,16.68,1.25,132,19,28.607,0,0
8.4.2024,21:51:18,12685,4606,73.3,10722,5545,65.9,0.3,1.152,1.171,1.137,1.13,1.168,3691.9,3691.9,3691.9,3691.9,3691.9,99.8,3691.9,997.8,907.6,1085.9,901,1295.7,544.8,876.9,1168,725,663.4,907.6,21.9,30,30,25,10,20,35,15,10,35,21.9,100,28.7,35.7,28,41.6,17.1,27,36.2,22.8,21.5,28.7,37,37,37,37,37,37,57,58,56,58,55,43,42,44,42,45,58,58,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,54,78,0,0,0,0,0,0,22.063,18.806,0,0.959,3.258,65,81.3,349.2,0,0,0,0,0,0,0,0,62,11.8,24.2,29,24.1,34.5,14.6,23.4,31.1,19.4,17.7,2.4,0,3,0.3,6.3,48.3,46.3,45.2,46.9,54.6,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,47,32,801,1028,47,No,No,77787,44413,100,0,100,10.483,0,5348,524,53,1.05,725,1125,35,13.2,0,0,0,0,0,0,36,739,108,8,5754,0,1,59.9,59.9,16.68,1.25,132,19,49.066,0,0
8.4.2024,21:51:18,12684,4607,73.3,10724,5543,65.9,0.3,1.197,1.17,1.2,1.216,1.201,3816.6,3691.9,3791.6,3891.4,3891.4,99.8,3691.9,997.8,963.3,975.8,695,1207.1,617.3,1331.6,1108.6,1107.1,663.7,963.3,19.4,25,10,25,5,35,15,30,10,35,19.4,100,29.3,30.9,21.1,37.2,18.2,41.5,33.3,31.5,20.4,29.2,38.3,37,38,39,39,37,65,66,63,64,65,36,34,37,36,35,66,66,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,71,71,55,77,0,0,0,0,0,0,21.151,18.016,0.051,0.872,3.23,65,81.3,449,0,8.1,8.1,0,0,0,0,0,62,17.3,25.8,26.2,18.7,32.3,16.6,35.5,29.7,29.6,17.9,0.5,0.3,0.1,1.5,0,51.1,57.2,53.4,38.7,55,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,49,47,32,801,1029,47,No,No,77787,44413,100,0,100,12.925,0,5352,524,53,1.05,725,1125,11,9,0,0,0,0,0,0,36,720,108,8,5734,0,1,60,59.9,16.68,1.18,132,19,73.46,0.631,0
8.4.2024,21:51:19,12665,4626,73.2,10711,5555,65.8,0.3,1.18,1.185,1.194,1.186,1.154,3742.7,3692.8,3692.8,3792.6,3792.6,99.8,3792.6,998.1,612.7,944.1,395.5,915.2,585.5,579.6,466.4,454.3,560.8,612.7,13.1,15,15,10,15,15,15,15,5,15,13.1,100,18.8,28.9,12.6,27.8,17.1,17.3,14,16,16.5,18.8,37.5,37,37,38,38,38,55,55,55,53,55,46,45,45,47,45,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,63,63,54,78,0,0,0,0,0,0,16.089,12.493,0.275,0.84,3.235,65,81.3,349.3,0,15.6,15.6,0,0,0,0,0,62,29.4,18.5,27.8,12.1,28.7,17.3,17.2,14.3,14,16.5,2.5,2.7,2.7,1.8,2.8,58.1,54.8,49.2,65.6,62.9,1064.6,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,47,33,801,1028,47,No,No,77787,44413,100,25.8,100,0.992,0.191,5352,525,53,0.95,300,1125,8,10,0,0,0,0,0,0,36,720,108,8,5734,0,0.8,60,59.9,16.68,1.18,132,19,107.58,0,0
8.4.2024,21:51:19,12663,4628,73.2,10710,5557,65.8,0.3,1.158,1.142,1.167,1.161,1.162,3691.9,3691.9,3691.9,3691.9,3691.9,99.8,3691.9,997.8,628.2,720.3,377.9,990.9,360.1,625.1,520,676.1,755.3,628.2,20.6,20,10,20,25,25,20,25,20,25,20.6,100,18.9,21.8,10.8,30.7,9.9,18.7,15.2,21,22.8,18.9,37,37,37,37,37,37,53,55,53,51,53,47,45,47,49,47,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,58,58,53,77,0,0,0,0,0,0,14.254,11.08,0,0.86,3.222,65,81.3,349.2,0,0,0,0,0,0,0,0,62,35.1,19.5,22.9,12.2,30,11.7,19.7,16.2,20.5,22.6,2,0.8,0.5,5.5,1.1,58.8,62.4,57.4,58.8,56.8,1064.3,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,49,47,33,800,1028,47,No,No,77787,44413,100,78.2,100,2.513,0.38,5353,525,53,0.95,300,1125,20,20.6,0,0,0,0,0,0,36,720,108,8,5734,0,0.8,60,59.9,16.68,1.18,132,19,134.185,4.767,0
8.4.2024,21:51:19,12663,4628,73.2,10722,5545,65.9,0.3,1.206,1.212,1.209,1.188,1.214,3715,3690,3690,3789.8,3690,99.7,3690,997.3,751.1,679.6,1074.2,893.8,401,898.3,933.8,498.2,629.8,751.1,17.5,10,25,25,15,15,30,10,10,30,17.5,100,23.1,21,33.1,28.7,11.5,27.4,28.9,15.1,18.8,23.1,37.3,37,37,38,37,37,54,55,54,52,53,47,45,46,48,47,55,55,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,60,60,53,78,0,0,0,0,0,0,19.178,15.964,0,0.837,3.228,65,81.3,349.1,0,0,0,0,0,0,0,0,62,20.7,20,18.2,28.6,23.9,10.8,24.1,24.7,13.4,16.8,2.4,0.5,2.6,2.3,4.1,55.5,51.7,60,47.7,62.6,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,47,33,798,1028,47,No,No,77787,44413,100,44.1,100,3.38,0.182,5354,525,53,0.95,300,1125,19,19.1,0,0,0,0,0,0,36,720,108,8,5734,0,0.8,60,59.9,16.68,1.18,132,19,68.388,2.667,0
8.4.2024,21:51:20,12657,4634,73.1,10720,5546,65.9,0.3,0.786,0.795,0.786,0.782,0.78,1894.4,1894.4,1894.4,1894.4,1894.4,99.7,1894.4,997.1,523,512,329,502.9,297,682.7,330.7,900.5,629.6,523,13.1,20,5,10,5,15,10,25,15,25,13.1,100,15.7,15.3,9.6,15.2,8.3,21.1,9.4,27.3,19.1,15.7,19,19,19,19,19,19,51,53,51,50,50,49,47,49,50,50,53,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,53,53,53,77,0,0,0,0,0,0,14.456,11.27,0,0.769,3.209,65,81.3,349,0,0,0,0,0,0,0,0,62,34.2,14.9,15.2,9.6,14.7,8.6,19.4,9.8,24.9,17.4,0.7,0.1,1.5,1.1,0,66.8,69.6,72.5,68,57.3,1063.5,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,49,47,33,798,1028,47,No,No,77787,44413,100,0,100,2.303,0,5355,525,53,0.95,300,1125,12,20,0,0,0,0,0,0,36,720,108,8,5734,0,0.8,59.9,60,16.7,2.74,132,19,24.645,0.973,0
8.4.2024,21:51:20,12655,4636,73.1,10716,5551,65.8,0.3,0.831,0.838,0.827,0.829,0.831,2094.4,2094.4,2094.4,2094.4,2094.4,99.7,2094.4,997.3,467.5,702.8,278.4,612.4,303.9,634.6,408.7,478.5,321.2,467.5,15,30,10,25,0,20,15,5,15,30,15,100,13.6,21,7.6,18.1,8.3,18.8,11.7,13.7,9.3,13.6,21,21,21,21,21,21,51,52,51,49,50,50,48,49,51,50,53,52,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,52,52,52,78,0,0,0,0,0,0,10.839,7.668,0,0.78,3.205,65,81.3,349.1,0,0,0,0,0,0,0,0,62,37.4,17.7,24.9,11,22.1,11.7,24.6,16.8,19.1,11.1,0.9,0.7,1.9,0.8,0.3,64.1,61.4,64.8,60.8,69.3,1063.8,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,49,47,32,799,1028,47,No,No,77787,44413,100,24.5,100,2.398,0.173,5355,525,53,0.95,300,1125,18,18.7,0,0,0,0,0,0,36,720,108,8,5734,0,0.8,59.9,60,16.7,2.74,132,19,26.73,1.305,0
8.4.2024,21:51:20,12654,4637,73.1,10716,5550,65.8,0.3,1.148,1.186,1.134,1.127,1.144,3691,3691,3691,3691,3691,99.8,3691,997.6,770.7,757.5,491.6,752.9,965.2,1112.3,667.1,814.6,604.7,770.7,13.8,20,5,15,15,20,10,10,15,20,13.8,100,23.9,23.6,15,23.7,29.7,35.2,20.2,25.2,18.3,23.8,37,37,37,37,37,37,53,53,53,53,53,47,47,47,47,47,54,53,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,59,59,53,77,0,0,0,0,0,0,18.242,14.753,0.296,0.825,3.23,65,81.3,349.1,0,21.4,21.4,0,0,0,0,0,62,16.1,21.6,21.3,13.8,20.8,27,30.6,19.8,22.8,16.7,1,1.3,0.1,2.5,0,56.3,62.6,52.7,47.4,62.4,1064.1,10.67,15,15,15,35,50,374,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,49,47,32,800,1028,47,No,No,77787,44413,100,0,100,16.073,0,5360,525,53,0.95,300,1125,23,21,0,0,0,0,0,0,36,717,108,8,5736,0,0.8,59.9,60,16.7,2.74,132,19,7.635,1.92,0
