??,??(V),??(A),??(W),??(Hz),????,??,??
1,218.47,0.298,52.37,50.03,0.804,8:05:42 PM:750,1
2,218.64,0.463,95.02,50.02,0.939,8:05:43 PM:123,1
3,218.58,0.476,98.00,50.03,0.942,8:05:43 PM:499,1
4,218.51,0.487,100.28,50.02,0.942,8:05:43 PM:875,1
5,218.46,0.452,92.50,50.01,0.937,8:05:44 PM:248,1
6,218.56,0.396,79.66,50.01,0.920,8:05:44 PM:622,1
7,218.44,0.431,87.45,50.03,0.929,8:05:44 PM:996,1
8,218.46,0.330,63.57,50.03,0.882,8:05:45 PM:355,1
9,218.60,0.367,72.53,50.04,0.904,8:05:45 PM:717,1
10,218.33,0.329,62.26,50.03,0.867,8:05:46 PM:089,1
11,218.30,0.374,74.44,50.02,0.912,8:05:46 PM:460,1
12,218.60,0.343,67.48,50.03,0.900,8:05:46 PM:835,1
13,218.45,0.343,66.62,50.03,0.889,8:05:47 PM:208,1
14,218.21,0.338,66.31,50.03,0.899,8:05:47 PM:583,1
15,218.41,0.348,65.30,50.01,0.859,8:05:47 PM:954,1
16,218.52,0.284,52.89,50.02,0.852,8:05:48 PM:340,1
17,218.66,0.283,52.61,50.01,0.850,8:05:48 PM:713,1
18,218.51,0.345,67.54,50.03,0.896,8:05:49 PM:088,1
19,218.54,0.296,47.25,50.02,0.730,8:05:49 PM:459,1
20,218.44,0.289,51.96,50.02,0.823,8:05:49 PM:832,1
21,218.29,0.289,54.08,50.00,0.857,8:05:50 PM:206,1
22,218.37,0.284,52.91,50.01,0.853,8:05:50 PM:594,1
23,218.31,0.395,61.61,50.01,0.714,8:05:50 PM:968,1
24,218.48,0.263,45.92,50.02,0.799,8:05:51 PM:356,1
25,218.46,0.417,60.60,49.99,0.665,8:05:51 PM:727,1
26,218.54,0.297,54.26,50.01,0.836,8:05:52 PM:101,1
27,218.54,0.275,50.81,50.01,0.845,8:05:52 PM:475,1
28,218.41,0.306,58.62,50.01,0.877,8:05:52 PM:877,1
29,218.60,0.294,53.45,50.00,0.832,8:05:53 PM:250,1
30,218.49,0.388,70.49,50.01,0.831,8:05:53 PM:624,1
31,218.54,0.395,77.98,50.01,0.903,8:05:54 PM:014,1
32,218.43,0.337,64.20,50.02,0.872,8:05:54 PM:386,1
33,218.49,0.287,53.30,50.02,0.850,8:05:54 PM:757,1
34,218.40,0.309,55.02,50.02,0.815,8:05:55 PM:128,1
35,218.37,0.326,62.84,50.01,0.883,8:05:55 PM:499,1
36,218.35,0.367,61.78,50.01,0.771,8:05:55 PM:890,1
37,218.23,0.358,69.53,50.00,0.890,8:05:56 PM:266,1
38,218.51,0.288,52.57,50.01,0.835,8:05:56 PM:653,1
39,218.45,0.232,40.71,50.01,0.803,8:05:57 PM:027,1
40,218.34,0.332,63.86,50.02,0.881,8:05:57 PM:400,1
41,218.22,0.324,62.30,50.01,0.881,8:05:57 PM:774,1
